,time,Measure,kWh,label
17,2022-01-03 00:00:00,Sub - Feeder F03,20.5,unclassified
28,2022-01-03 00:15:00,Sub - Feeder F03,20.9375,unclassified
48,2022-01-03 00:30:00,Sub - Feeder F03,21.375,unclassified
87,2022-01-03 00:45:00,Sub - Feeder F03,21.8125,unclassified
105,2022-01-03 01:00:00,Sub - Feeder F03,22.25,unclassified
119,2022-01-03 01:15:00,Sub - Feeder F03,21.6875,unclassified
156,2022-01-03 01:30:00,Sub - Feeder F03,21.125,unclassified
168,2022-01-03 01:45:00,Sub - Feeder F03,20.5625,unclassified
184,2022-01-03 02:00:00,Sub - Feeder F03,20.0,unclassified
225,2022-01-03 02:15:00,Sub - Feeder F03,20.0,unclassified
235,2022-01-03 02:30:00,Sub - Feeder F03,20.0,unclassified
266,2022-01-03 02:45:00,Sub - Feeder F03,20.0,unclassified
278,2022-01-03 03:00:00,Sub - Feeder F03,20.0,unclassified
305,2022-01-03 03:15:00,Sub - Feeder F03,20.375,unclassified
323,2022-01-03 03:30:00,Sub - Feeder F03,20.75,unclassified
355,2022-01-03 03:45:00,Sub - Feeder F03,21.125,unclassified
372,2022-01-03 04:00:00,Sub - Feeder F03,21.5,unclassified
409,2022-01-03 04:15:00,Sub - Feeder F03,21.1875,unclassified
423,2022-01-03 04:30:00,Sub - Feeder F03,20.875,unclassified
447,2022-01-03 04:45:00,Sub - Feeder F03,20.5625,unclassified
469,2022-01-03 05:00:00,Sub - Feeder F03,20.25,unclassified
486,2022-01-03 05:15:00,Sub - Feeder F03,20.1875,unclassified
512,2022-01-03 05:30:00,Sub - Feeder F03,20.125,unclassified
546,2022-01-03 05:45:00,Sub - Feeder F03,20.0625,unclassified
557,2022-01-03 06:00:00,Sub - Feeder F03,20.0,unclassified
581,2022-01-03 06:15:00,Sub - Feeder F03,20.3125,unclassified
603,2022-01-03 06:30:00,Sub - Feeder F03,20.625,unclassified
619,2022-01-03 06:45:00,Sub - Feeder F03,20.9375,unclassified
649,2022-01-03 07:00:00,Sub - Feeder F03,21.25,unclassified
665,2022-01-03 07:15:00,Sub - Feeder F03,21.75,unclassified
701,2022-01-03 07:30:00,Sub - Feeder F03,22.25,unclassified
722,2022-01-03 07:45:00,Sub - Feeder F03,22.75,unclassified
738,2022-01-03 08:00:00,Sub - Feeder F03,23.25,unclassified
765,2022-01-03 08:15:00,Sub - Feeder F03,22.6875,unclassified
777,2022-01-03 08:30:00,Sub - Feeder F03,22.125,unclassified
813,2022-01-03 08:45:00,Sub - Feeder F03,21.5625,unclassified
