,time,Measure,kWh,label
10,2022-01-03 00:00:00,BS1 - Main 1L,31.75,Non-production
25,2022-01-03 00:15:00,BS1 - Main 1L,31.625,Non-production
47,2022-01-03 00:30:00,BS1 - Main 1L,31.5,Non-production
68,2022-01-03 00:45:00,BS1 - Main 1L,31.375,Non-production
96,2022-01-03 01:00:00,BS1 - Main 1L,31.25,Non-production
123,2022-01-03 01:15:00,BS1 - Main 1L,30.9375,Non-production
148,2022-01-03 01:30:00,BS1 - Main 1L,30.625,Non-production
173,2022-01-03 01:45:00,BS1 - Main 1L,30.3125,Non-production
196,2022-01-03 02:00:00,BS1 - Main 1L,30.0,Non-production
206,2022-01-03 02:15:00,BS1 - Main 1L,30.3125,Non-production
240,2022-01-03 02:30:00,BS1 - Main 1L,30.625,Non-production
257,2022-01-03 02:45:00,BS1 - Main 1L,30.9375,Non-production
282,2022-01-03 03:00:00,BS1 - Main 1L,31.25,Non-production
298,2022-01-03 03:15:00,BS1 - Main 1L,31.9375,Non-production
335,2022-01-03 03:30:00,BS1 - Main 1L,32.625,Non-production
350,2022-01-03 03:45:00,BS1 - Main 1L,33.3125,Non-production
370,2022-01-03 04:00:00,BS1 - Main 1L,34.0,Non-production
392,2022-01-03 04:15:00,BS1 - Main 1L,34.0,Non-production
419,2022-01-03 04:30:00,BS1 - Main 1L,34.0,Non-production
443,2022-01-03 04:45:00,BS1 - Main 1L,34.0,Non-production
460,2022-01-03 05:00:00,BS1 - Main 1L,34.0,Non-production
491,2022-01-03 05:15:00,BS1 - Main 1L,33.75,Non-production
506,2022-01-03 05:30:00,BS1 - Main 1L,33.5,Non-production
544,2022-01-03 05:45:00,BS1 - Main 1L,33.25,Non-production
555,2022-01-03 06:00:00,BS1 - Main 1L,33.0,Non-production
576,2022-01-03 06:15:00,BS1 - Main 1L,33.875,Non-production
615,2022-01-03 06:30:00,BS1 - Main 1L,34.75,Non-production
632,2022-01-03 06:45:00,BS1 - Main 1L,35.625,Non-production
642,2022-01-03 07:00:00,BS1 - Main 1L,36.5,Non-production
681,2022-01-03 07:15:00,BS1 - Main 1L,36.25,Non-production
692,2022-01-03 07:30:00,BS1 - Main 1L,36.0,Non-production
728,2022-01-03 07:45:00,BS1 - Main 1L,35.75,Non-production
747,2022-01-03 08:00:00,BS1 - Main 1L,35.5,Non-production
772,2022-01-03 08:15:00,BS1 - Main 1L,35.625,Non-production
786,2022-01-03 08:30:00,BS1 - Main 1L,35.75,Non-production
814,2022-01-03 08:45:00,BS1 - Main 1L,35.875,Non-production
822,2022-01-03 09:00:00,BS1 - Main 1L,36.0,Non-production
842,2022-01-03 09:15:00,BS1 - Main 1L,35.6875,Non-production
868,2022-01-03 09:30:00,BS1 - Main 1L,35.375,Non-production
903,2022-01-03 09:45:00,BS1 - Main 1L,35.0625,Non-production
912,2022-01-03 10:00:00,BS1 - Main 1L,34.75,Non-production
948,2022-01-03 10:15:00,BS1 - Main 1L,34.8125,Non-production
970,2022-01-03 10:30:00,BS1 - Main 1L,34.875,Non-production
982,2022-01-03 10:45:00,BS1 - Main 1L,34.9375,Non-production
1000,2022-01-03 11:00:00,BS1 - Main 1L,35.0,Non-production
1025,2022-01-03 11:15:00,BS1 - Main 1L,34.6875,Non-production
1051,2022-01-03 11:30:00,BS1 - Main 1L,34.375,Non-production
1083,2022-01-03 11:45:00,BS1 - Main 1L,34.0625,Non-production
1092,2022-01-03 12:00:00,BS1 - Main 1L,33.75,Non-production
1126,2022-01-03 12:15:00,BS1 - Main 1L,33.375,Non-production
1138,2022-01-03 12:30:00,BS1 - Main 1L,33.0,Non-production
1167,2022-01-03 12:45:00,BS1 - Main 1L,32.625,Non-production
1201,2022-01-03 13:00:00,BS1 - Main 1L,32.25,Non-production
1210,2022-01-03 13:15:00,BS1 - Main 1L,32.125,Non-production
1248,2022-01-03 13:30:00,BS1 - Main 1L,32.0,Non-production
1266,2022-01-03 13:45:00,BS1 - Main 1L,31.875,Non-production
1287,2022-01-03 14:00:00,BS1 - Main 1L,31.75,Non-production
1317,2022-01-03 14:15:00,BS1 - Main 1L,31.5,Non-production
1340,2022-01-03 14:30:00,BS1 - Main 1L,31.25,Non-production
1360,2022-01-03 14:45:00,BS1 - Main 1L,31.0,Non-production
1370,2022-01-03 15:00:00,BS1 - Main 1L,30.75,Non-production
1406,2022-01-03 15:15:00,BS1 - Main 1L,30.8125,Non-production
1426,2022-01-03 15:30:00,BS1 - Main 1L,30.875,Non-production
1436,2022-01-03 15:45:00,BS1 - Main 1L,30.9375,Non-production
1473,2022-01-03 16:00:00,BS1 - Main 1L,31.0,Non-production
1496,2022-01-03 16:15:00,BS1 - Main 1L,31.0625,Non-production
1523,2022-01-03 16:30:00,BS1 - Main 1L,31.125,Non-production
1543,2022-01-03 16:45:00,BS1 - Main 1L,31.1875,Non-production
1550,2022-01-03 17:00:00,BS1 - Main 1L,31.25,Non-production
1590,2022-01-03 17:15:00,BS1 - Main 1L,31.4375,Non-production
1616,2022-01-03 17:30:00,BS1 - Main 1L,31.625,Non-production
1624,2022-01-03 17:45:00,BS1 - Main 1L,31.8125,Non-production
1648,2022-01-03 18:00:00,BS1 - Main 1L,32.0,Non-production
1671,2022-01-03 18:15:00,BS1 - Main 1L,31.75,Non-production
1687,2022-01-03 18:30:00,BS1 - Main 1L,31.5,Non-production
1715,2022-01-03 18:45:00,BS1 - Main 1L,31.25,Non-production
1737,2022-01-03 19:00:00,BS1 - Main 1L,31.0,Non-production
1753,2022-01-03 19:15:00,BS1 - Main 1L,31.0625,Non-production
1795,2022-01-03 19:30:00,BS1 - Main 1L,31.125,Non-production
1805,2022-01-03 19:45:00,BS1 - Main 1L,31.1875,Non-production
1828,2022-01-03 20:00:00,BS1 - Main 1L,31.25,Non-production
1857,2022-01-03 20:15:00,BS1 - Main 1L,31.25,Non-production
1870,2022-01-03 20:30:00,BS1 - Main 1L,31.25,Non-production
1891,2022-01-03 20:45:00,BS1 - Main 1L,31.25,Non-production
1925,2022-01-03 21:00:00,BS1 - Main 1L,31.25,Non-production
1946,2022-01-03 21:15:00,BS1 - Main 1L,31.3125,Non-production
1965,2022-01-03 21:30:00,BS1 - Main 1L,31.375,Non-production
2000,2022-01-03 21:45:00,BS1 - Main 1L,31.4375,Non-production
2006,2022-01-03 22:00:00,BS1 - Main 1L,31.5,Non-production
2036,2022-01-03 22:15:00,BS1 - Main 1L,31.75,Non-production
2069,2022-01-03 22:30:00,BS1 - Main 1L,32.0,Non-production
2085,2022-01-03 22:45:00,BS1 - Main 1L,32.25,Non-production
2104,2022-01-03 23:00:00,BS1 - Main 1L,32.5,Non-production
2139,2022-01-03 23:15:00,BS1 - Main 1L,32.0625,Non-production
2158,2022-01-03 23:30:00,BS1 - Main 1L,31.625,Non-production
2170,2022-01-03 23:45:00,BS1 - Main 1L,31.1875,Non-production
2209,2022-01-04 00:00:00,BS1 - Main 1L,30.75,Non-production
2222,2022-01-04 00:15:00,BS1 - Main 1L,30.5625,Non-production
2250,2022-01-04 00:30:00,BS1 - Main 1L,30.375,Non-production
2262,2022-01-04 00:45:00,BS1 - Main 1L,30.1875,Non-production
2299,2022-01-04 01:00:00,BS1 - Main 1L,30.0,Non-production
2308,2022-01-04 01:15:00,BS1 - Main 1L,30.25,Non-production
2339,2022-01-04 01:30:00,BS1 - Main 1L,30.5,Non-production
2358,2022-01-04 01:45:00,BS1 - Main 1L,30.75,Non-production
2383,2022-01-04 02:00:00,BS1 - Main 1L,31.0,Non-production
2418,2022-01-04 02:15:00,BS1 - Main 1L,31.1875,Non-production
2428,2022-01-04 02:30:00,BS1 - Main 1L,31.375,Non-production
2462,2022-01-04 02:45:00,BS1 - Main 1L,31.5625,Non-production
2468,2022-01-04 03:00:00,BS1 - Main 1L,31.75,Non-production
2509,2022-01-04 03:15:00,BS1 - Main 1L,32.0,Non-production
2519,2022-01-04 03:30:00,BS1 - Main 1L,32.25,Non-production
2543,2022-01-04 03:45:00,BS1 - Main 1L,32.5,Non-production
