,time,Measure,kWh,label
2004,2022-01-03 21:45:00,AB3 - Main 3R,38.70625,unclassified
2012,2022-01-03 22:00:00,AB3 - Main 3R,38.425,unclassified
2031,2022-01-03 22:15:00,AB3 - Main 3R,38.48125,unclassified
2064,2022-01-03 22:30:00,AB3 - Main 3R,38.5375,unclassified
2076,2022-01-03 22:45:00,AB3 - Main 3R,38.59375,unclassified
2114,2022-01-03 23:00:00,AB3 - Main 3R,38.65,unclassified
2135,2022-01-03 23:15:00,AB3 - Main 3R,38.8125,unclassified
2144,2022-01-03 23:30:00,AB3 - Main 3R,38.975,unclassified
2184,2022-01-03 23:45:00,AB3 - Main 3R,39.1375,unclassified
2193,2022-01-04 00:00:00,AB3 - Main 3R,39.3,unclassified
2220,2022-01-04 00:15:00,AB3 - Main 3R,39.13125,unclassified
2236,2022-01-04 00:30:00,AB3 - Main 3R,38.9625,unclassified
2276,2022-01-04 00:45:00,AB3 - Main 3R,38.79375,unclassified
2287,2022-01-04 01:00:00,AB3 - Main 3R,38.625,unclassified
2315,2022-01-04 01:15:00,AB3 - Main 3R,38.5375,unclassified
2333,2022-01-04 01:30:00,AB3 - Main 3R,38.45,unclassified
2366,2022-01-04 01:45:00,AB3 - Main 3R,38.3625,unclassified
2395,2022-01-04 02:00:00,AB3 - Main 3R,38.275,unclassified
2416,2022-01-04 02:15:00,AB3 - Main 3R,38.35625,unclassified
2439,2022-01-04 02:30:00,AB3 - Main 3R,38.4375,unclassified
2448,2022-01-04 02:45:00,AB3 - Main 3R,38.51875,unclassified
2472,2022-01-04 03:00:00,AB3 - Main 3R,38.6,unclassified
2508,2022-01-04 03:15:00,AB3 - Main 3R,40.08125,unclassified
2530,2022-01-04 03:30:00,AB3 - Main 3R,41.5625,unclassified
2551,2022-01-04 03:45:00,AB3 - Main 3R,43.04375,unclassified
2561,2022-01-04 04:00:00,AB3 - Main 3R,44.525,unclassified
2597,2022-01-04 04:15:00,AB3 - Main 3R,44.15625,unclassified
2607,2022-01-04 04:30:00,AB3 - Main 3R,43.7875,unclassified
2643,2022-01-04 04:45:00,AB3 - Main 3R,43.41875,unclassified
2671,2022-01-04 05:00:00,AB3 - Main 3R,43.05,unclassified
2680,2022-01-04 05:15:00,AB3 - Main 3R,42.05625,unclassified
2708,2022-01-04 05:30:00,AB3 - Main 3R,41.0625,unclassified
2719,2022-01-04 05:45:00,AB3 - Main 3R,40.06875,unclassified
2746,2022-01-04 06:00:00,AB3 - Main 3R,39.075,unclassified
2765,2022-01-04 06:15:00,AB3 - Main 3R,39.23125,unclassified
2806,2022-01-04 06:30:00,AB3 - Main 3R,39.3875,unclassified
2826,2022-01-04 06:45:00,AB3 - Main 3R,39.54375,unclassified
2834,2022-01-04 07:00:00,AB3 - Main 3R,39.7,unclassified
2858,2022-01-04 07:15:00,AB3 - Main 3R,39.25,unclassified
2884,2022-01-04 07:30:00,AB3 - Main 3R,38.8,unclassified
2921,2022-01-04 07:45:00,AB3 - Main 3R,38.35,unclassified
2932,2022-01-04 08:00:00,AB3 - Main 3R,37.9,unclassified
2970,2022-01-04 08:15:00,AB3 - Main 3R,37.8375,unclassified
2985,2022-01-04 08:30:00,AB3 - Main 3R,37.775,unclassified
3008,2022-01-04 08:45:00,AB3 - Main 3R,37.7125,unclassified
3031,2022-01-04 09:00:00,AB3 - Main 3R,37.65,unclassified
3058,2022-01-04 09:15:00,AB3 - Main 3R,37.675,unclassified
3080,2022-01-04 09:30:00,AB3 - Main 3R,37.7,unclassified
3098,2022-01-04 09:45:00,AB3 - Main 3R,37.725,unclassified
3125,2022-01-04 10:00:00,AB3 - Main 3R,37.75,unclassified
3150,2022-01-04 10:15:00,AB3 - Main 3R,38.3125,unclassified
3168,2022-01-04 10:30:00,AB3 - Main 3R,38.875,unclassified
3199,2022-01-04 10:45:00,AB3 - Main 3R,39.4375,unclassified
3205,2022-01-04 11:00:00,AB3 - Main 3R,40.0,unclassified
3246,2022-01-04 11:15:00,AB3 - Main 3R,40.1875,unclassified
3253,2022-01-04 11:30:00,AB3 - Main 3R,40.375,unclassified
3275,2022-01-04 11:45:00,AB3 - Main 3R,40.5625,unclassified
3297,2022-01-04 12:00:00,AB3 - Main 3R,40.75,unclassified
3336,2022-01-04 12:15:00,AB3 - Main 3R,40.1875,unclassified
3346,2022-01-04 12:30:00,AB3 - Main 3R,39.625,unclassified
3372,2022-01-04 12:45:00,AB3 - Main 3R,39.0625,unclassified
3393,2022-01-04 13:00:00,AB3 - Main 3R,38.5,unclassified
3420,2022-01-04 13:15:00,AB3 - Main 3R,38.24375,unclassified
3444,2022-01-04 13:30:00,AB3 - Main 3R,37.9875,unclassified
3459,2022-01-04 13:45:00,AB3 - Main 3R,37.73125,unclassified
3490,2022-01-04 14:00:00,AB3 - Main 3R,37.475,unclassified
3520,2022-01-04 14:15:00,AB3 - Main 3R,37.4375,unclassified
3524,2022-01-04 14:30:00,AB3 - Main 3R,37.40000000000001,unclassified
3568,2022-01-04 14:45:00,AB3 - Main 3R,37.3625,unclassified
3591,2022-01-04 15:00:00,AB3 - Main 3R,37.325,unclassified
3602,2022-01-04 15:15:00,AB3 - Main 3R,37.11875000000001,unclassified
3622,2022-01-04 15:30:00,AB3 - Main 3R,36.9125,unclassified
3649,2022-01-04 15:45:00,AB3 - Main 3R,36.70625,unclassified
3674,2022-01-04 16:00:00,AB3 - Main 3R,36.5,unclassified
3685,2022-01-04 16:15:00,AB3 - Main 3R,36.76875,unclassified
3715,2022-01-04 16:30:00,AB3 - Main 3R,37.0375,unclassified
3746,2022-01-04 16:45:00,AB3 - Main 3R,37.30625000000001,unclassified
3757,2022-01-04 17:00:00,AB3 - Main 3R,37.575,unclassified
3773,2022-01-04 17:15:00,AB3 - Main 3R,37.33750000000001,unclassified
3805,2022-01-04 17:30:00,AB3 - Main 3R,37.1,unclassified
3835,2022-01-04 17:45:00,AB3 - Main 3R,36.8625,unclassified
3842,2022-01-04 18:00:00,AB3 - Main 3R,36.625,unclassified
3877,2022-01-04 18:15:00,AB3 - Main 3R,36.79375,unclassified
3898,2022-01-04 18:30:00,AB3 - Main 3R,36.9625,unclassified
3920,2022-01-04 18:45:00,AB3 - Main 3R,37.13125,unclassified
3942,2022-01-04 19:00:00,AB3 - Main 3R,37.3,unclassified
3969,2022-01-04 19:15:00,AB3 - Main 3R,37.3,unclassified
3981,2022-01-04 19:30:00,AB3 - Main 3R,37.3,unclassified
4018,2022-01-04 19:45:00,AB3 - Main 3R,37.3,unclassified
4044,2022-01-04 20:00:00,AB3 - Main 3R,37.3,unclassified
4060,2022-01-04 20:15:00,AB3 - Main 3R,37.4125,unclassified
4081,2022-01-04 20:30:00,AB3 - Main 3R,37.525,unclassified
4103,2022-01-04 20:45:00,AB3 - Main 3R,37.6375,unclassified
4129,2022-01-04 21:00:00,AB3 - Main 3R,37.75,unclassified
4153,2022-01-04 21:15:00,AB3 - Main 3R,37.61875,unclassified
4179,2022-01-04 21:30:00,AB3 - Main 3R,37.4875,unclassified
4187,2022-01-04 21:45:00,AB3 - Main 3R,37.35625,unclassified
4221,2022-01-04 22:00:00,AB3 - Main 3R,37.225,unclassified
4236,2022-01-04 22:15:00,AB3 - Main 3R,37.05,unclassified
4267,2022-01-04 22:30:00,AB3 - Main 3R,36.875,unclassified
4290,2022-01-04 22:45:00,AB3 - Main 3R,36.7,unclassified
4303,2022-01-04 23:00:00,AB3 - Main 3R,36.525,unclassified
4324,2022-01-04 23:15:00,AB3 - Main 3R,36.84375,unclassified
4349,2022-01-04 23:30:00,AB3 - Main 3R,37.1625,unclassified
4384,2022-01-04 23:45:00,AB3 - Main 3R,37.48125,unclassified
4403,2022-01-05 00:00:00,AB3 - Main 3R,37.8,unclassified
4417,2022-01-05 00:15:00,AB3 - Main 3R,37.74375,unclassified
4454,2022-01-05 00:30:00,AB3 - Main 3R,37.6875,unclassified
4473,2022-01-05 00:45:00,AB3 - Main 3R,37.63125,unclassified
4483,2022-01-05 01:00:00,AB3 - Main 3R,37.575,unclassified
4524,2022-01-05 01:15:00,AB3 - Main 3R,37.28125,unclassified
4543,2022-01-05 01:30:00,AB3 - Main 3R,36.9875,unclassified
4569,2022-01-05 01:45:00,AB3 - Main 3R,36.69375,unclassified
4581,2022-01-05 02:00:00,AB3 - Main 3R,36.4,unclassified
4608,2022-01-05 02:15:00,AB3 - Main 3R,36.55625,unclassified
4625,2022-01-05 02:30:00,AB3 - Main 3R,36.7125,unclassified
4652,2022-01-05 02:45:00,AB3 - Main 3R,36.86875,unclassified
4672,2022-01-05 03:00:00,AB3 - Main 3R,37.025,unclassified
4705,2022-01-05 03:15:00,AB3 - Main 3R,37.91875,unclassified
4734,2022-01-05 03:30:00,AB3 - Main 3R,38.8125,unclassified
4741,2022-01-05 03:45:00,AB3 - Main 3R,39.70625,unclassified
4777,2022-01-05 04:00:00,AB3 - Main 3R,40.6,unclassified
4783,2022-01-05 04:15:00,AB3 - Main 3R,40.25625,unclassified
4820,2022-01-05 04:30:00,AB3 - Main 3R,39.9125,unclassified
4840,2022-01-05 04:45:00,AB3 - Main 3R,39.56875,unclassified
4858,2022-01-05 05:00:00,AB3 - Main 3R,39.225,unclassified
4879,2022-01-05 05:15:00,AB3 - Main 3R,39.14375,unclassified
4902,2022-01-05 05:30:00,AB3 - Main 3R,39.0625,unclassified
4933,2022-01-05 05:45:00,AB3 - Main 3R,38.98125,unclassified
4959,2022-01-05 06:00:00,AB3 - Main 3R,38.9,unclassified
4976,2022-01-05 06:15:00,AB3 - Main 3R,38.60625,unclassified
4990,2022-01-05 06:30:00,AB3 - Main 3R,38.3125,unclassified
5019,2022-01-05 06:45:00,AB3 - Main 3R,38.01875,unclassified
5041,2022-01-05 07:00:00,AB3 - Main 3R,37.725,unclassified
5070,2022-01-05 07:15:00,AB3 - Main 3R,37.7875,unclassified
5100,2022-01-05 07:30:00,AB3 - Main 3R,37.85,unclassified
5114,2022-01-05 07:45:00,AB3 - Main 3R,37.9125,unclassified
5147,2022-01-05 08:00:00,AB3 - Main 3R,37.975,unclassified
5168,2022-01-05 08:15:00,AB3 - Main 3R,37.94375,unclassified
5177,2022-01-05 08:30:00,AB3 - Main 3R,37.9125,unclassified
5206,2022-01-05 08:45:00,AB3 - Main 3R,37.88125,unclassified
5223,2022-01-05 09:00:00,AB3 - Main 3R,37.85,unclassified
5245,2022-01-05 09:15:00,AB3 - Main 3R,37.80625,unclassified
5282,2022-01-05 09:30:00,AB3 - Main 3R,37.7625,unclassified
5296,2022-01-05 09:45:00,AB3 - Main 3R,37.71875,unclassified
5324,2022-01-05 10:00:00,AB3 - Main 3R,37.675,unclassified
5342,2022-01-05 10:15:00,AB3 - Main 3R,37.2375,unclassified
5376,2022-01-05 10:30:00,AB3 - Main 3R,36.8,unclassified
5401,2022-01-05 10:45:00,AB3 - Main 3R,36.3625,unclassified
5404,2022-01-05 11:00:00,AB3 - Main 3R,35.925,unclassified
5446,2022-01-05 11:15:00,AB3 - Main 3R,35.9375,unclassified
5453,2022-01-05 11:30:00,AB3 - Main 3R,35.95,unclassified
5485,2022-01-05 11:45:00,AB3 - Main 3R,35.9625,unclassified
5516,2022-01-05 12:00:00,AB3 - Main 3R,35.975,unclassified
5530,2022-01-05 12:15:00,AB3 - Main 3R,36.19375,unclassified
5561,2022-01-05 12:30:00,AB3 - Main 3R,36.4125,unclassified
5571,2022-01-05 12:45:00,AB3 - Main 3R,36.63125,unclassified
5599,2022-01-05 13:00:00,AB3 - Main 3R,36.85,unclassified
5616,2022-01-05 13:15:00,AB3 - Main 3R,36.23125,unclassified
5648,2022-01-05 13:30:00,AB3 - Main 3R,35.6125,unclassified
5660,2022-01-05 13:45:00,AB3 - Main 3R,34.99375,unclassified
5681,2022-01-05 14:00:00,AB3 - Main 3R,34.375,unclassified
5702,2022-01-05 14:15:00,AB3 - Main 3R,34.9125,unclassified
5732,2022-01-05 14:30:00,AB3 - Main 3R,35.45,unclassified
5755,2022-01-05 14:45:00,AB3 - Main 3R,35.9875,unclassified
5778,2022-01-05 15:00:00,AB3 - Main 3R,36.525,unclassified
5798,2022-01-05 15:15:00,AB3 - Main 3R,36.6875,unclassified
