,time,Measure,kWh,label
4,2022-01-03 00:00:00,Sub - Feeder F10,164.25,unclassified
111,2022-01-03 01:00:00,Sub - Feeder F10,142.75,unclassified
134,2022-01-03 01:15:00,Sub - Feeder F10,144.3125,unclassified
157,2022-01-03 01:30:00,Sub - Feeder F10,145.875,unclassified
180,2022-01-03 01:45:00,Sub - Feeder F10,147.4375,unclassified
203,2022-01-03 02:00:00,Sub - Feeder F10,149.0,unclassified
226,2022-01-03 02:15:00,Sub - Feeder F10,148.875,unclassified
249,2022-01-03 02:30:00,Sub - Feeder F10,148.75,unclassified
272,2022-01-03 02:45:00,Sub - Feeder F10,148.625,unclassified
295,2022-01-03 03:00:00,Sub - Feeder F10,148.5,unclassified
318,2022-01-03 03:15:00,Sub - Feeder F10,151.625,unclassified
341,2022-01-03 03:30:00,Sub - Feeder F10,154.75,unclassified
364,2022-01-03 03:45:00,Sub - Feeder F10,157.875,unclassified
387,2022-01-03 04:00:00,Sub - Feeder F10,161.0,unclassified
410,2022-01-03 04:15:00,Sub - Feeder F10,159.25,unclassified
433,2022-01-03 04:30:00,Sub - Feeder F10,157.5,unclassified
456,2022-01-03 04:45:00,Sub - Feeder F10,155.75,unclassified
479,2022-01-03 05:00:00,Sub - Feeder F10,154.0,unclassified
502,2022-01-03 05:15:00,Sub - Feeder F10,152.0,unclassified
525,2022-01-03 05:30:00,Sub - Feeder F10,150.0,unclassified
548,2022-01-03 05:45:00,Sub - Feeder F10,148.0,unclassified
571,2022-01-03 06:00:00,Sub - Feeder F10,146.0,unclassified
594,2022-01-03 06:15:00,Sub - Feeder F10,151.0625,unclassified
617,2022-01-03 06:30:00,Sub - Feeder F10,156.125,unclassified
640,2022-01-03 06:45:00,Sub - Feeder F10,161.1875,unclassified
663,2022-01-03 07:00:00,Sub - Feeder F10,166.25,unclassified
685,2022-01-03 07:15:00,Sub - Feeder F10,163.9375,unclassified
707,2022-01-03 07:30:00,Sub - Feeder F10,161.625,unclassified
729,2022-01-03 07:45:00,Sub - Feeder F10,159.3125,unclassified
751,2022-01-03 08:00:00,Sub - Feeder F10,157.0,unclassified
