,time,Measure,kWh,label
12,2022-01-03 00:00:00,AB2 - Main 2R,109.25,unclassified
31,2022-01-03 00:15:00,AB2 - Main 2R,109.0,unclassified
54,2022-01-03 00:30:00,AB2 - Main 2R,108.75,unclassified
84,2022-01-03 00:45:00,AB2 - Main 2R,108.5,unclassified
93,2022-01-03 01:00:00,AB2 - Main 2R,108.25,unclassified
132,2022-01-03 01:15:00,AB2 - Main 2R,107.75,unclassified
151,2022-01-03 01:30:00,AB2 - Main 2R,107.25,unclassified
162,2022-01-03 01:45:00,AB2 - Main 2R,106.75,unclassified
185,2022-01-03 02:00:00,AB2 - Main 2R,106.25,unclassified
209,2022-01-03 02:15:00,AB2 - Main 2R,106.5,unclassified
238,2022-01-03 02:30:00,AB2 - Main 2R,106.75,unclassified
267,2022-01-03 02:45:00,AB2 - Main 2R,107.0,unclassified
280,2022-01-03 03:00:00,AB2 - Main 2R,107.25,unclassified
300,2022-01-03 03:15:00,AB2 - Main 2R,108.0625,unclassified
329,2022-01-03 03:30:00,AB2 - Main 2R,108.875,unclassified
354,2022-01-03 03:45:00,AB2 - Main 2R,109.6875,unclassified
378,2022-01-03 04:00:00,AB2 - Main 2R,110.5,unclassified
402,2022-01-03 04:15:00,AB2 - Main 2R,111.875,unclassified
424,2022-01-03 04:30:00,AB2 - Main 2R,113.25,unclassified
439,2022-01-03 04:45:00,AB2 - Main 2R,114.625,unclassified
468,2022-01-03 05:00:00,AB2 - Main 2R,116.0,unclassified
487,2022-01-03 05:15:00,AB2 - Main 2R,107.0,unclassified
509,2022-01-03 05:30:00,AB2 - Main 2R,98.0,unclassified
534,2022-01-03 05:45:00,AB2 - Main 2R,89.0,unclassified
565,2022-01-03 06:00:00,AB2 - Main 2R,80.0,unclassified
584,2022-01-03 06:15:00,AB2 - Main 2R,74.3125,unclassified
614,2022-01-03 06:30:00,AB2 - Main 2R,68.625,unclassified
631,2022-01-03 06:45:00,AB2 - Main 2R,62.9375,unclassified
646,2022-01-03 07:00:00,AB2 - Main 2R,57.25,unclassified
666,2022-01-03 07:15:00,AB2 - Main 2R,56.75,unclassified
694,2022-01-03 07:30:00,AB2 - Main 2R,56.25,unclassified
708,2022-01-03 07:45:00,AB2 - Main 2R,55.75,unclassified
745,2022-01-03 08:00:00,AB2 - Main 2R,55.25,unclassified
760,2022-01-03 08:15:00,AB2 - Main 2R,55.1875,unclassified
788,2022-01-03 08:30:00,AB2 - Main 2R,55.125,unclassified
807,2022-01-03 08:45:00,AB2 - Main 2R,55.0625,unclassified
838,2022-01-03 09:00:00,AB2 - Main 2R,55.0,unclassified
840,2022-01-03 09:15:00,AB2 - Main 2R,54.6875,unclassified
872,2022-01-03 09:30:00,AB2 - Main 2R,54.375,unclassified
