,time,Measure,kWh,label
9,2022-01-03 00:00:00,BS3 - Main 3R,38.25,unclassified
40,2022-01-03 00:15:00,BS3 - Main 3R,38.3125,unclassified
62,2022-01-03 00:30:00,BS3 - Main 3R,38.375,unclassified
78,2022-01-03 00:45:00,BS3 - Main 3R,38.4375,unclassified
94,2022-01-03 01:00:00,BS3 - Main 3R,38.5,unclassified
133,2022-01-03 01:15:00,BS3 - Main 3R,38.3125,unclassified
137,2022-01-03 01:30:00,BS3 - Main 3R,38.125,unclassified
163,2022-01-03 01:45:00,BS3 - Main 3R,37.9375,unclassified
182,2022-01-03 02:00:00,BS3 - Main 3R,37.75,unclassified
207,2022-01-03 02:15:00,BS3 - Main 3R,38.3125,unclassified
232,2022-01-03 02:30:00,BS3 - Main 3R,38.875,unclassified
253,2022-01-03 02:45:00,BS3 - Main 3R,39.4375,unclassified
292,2022-01-03 03:00:00,BS3 - Main 3R,40.0,unclassified
304,2022-01-03 03:15:00,BS3 - Main 3R,40.375,unclassified
333,2022-01-03 03:30:00,BS3 - Main 3R,40.75,unclassified
359,2022-01-03 03:45:00,BS3 - Main 3R,41.125,unclassified
374,2022-01-03 04:00:00,BS3 - Main 3R,41.5,unclassified
401,2022-01-03 04:15:00,BS3 - Main 3R,42.5625,unclassified
417,2022-01-03 04:30:00,BS3 - Main 3R,43.625,unclassified
435,2022-01-03 04:45:00,BS3 - Main 3R,44.6875,unclassified
465,2022-01-03 05:00:00,BS3 - Main 3R,45.75,unclassified
499,2022-01-03 05:15:00,BS3 - Main 3R,46.125,unclassified
522,2022-01-03 05:30:00,BS3 - Main 3R,46.5,unclassified
545,2022-01-03 05:45:00,BS3 - Main 3R,46.875,unclassified
552,2022-01-03 06:00:00,BS3 - Main 3R,47.25,unclassified
582,2022-01-03 06:15:00,BS3 - Main 3R,47.1875,unclassified
610,2022-01-03 06:30:00,BS3 - Main 3R,47.125,unclassified
627,2022-01-03 06:45:00,BS3 - Main 3R,47.0625,unclassified
661,2022-01-03 07:00:00,BS3 - Main 3R,47.0,unclassified
670,2022-01-03 07:15:00,BS3 - Main 3R,46.375,unclassified
703,2022-01-03 07:30:00,BS3 - Main 3R,45.75,unclassified
721,2022-01-03 07:45:00,BS3 - Main 3R,45.125,unclassified
748,2022-01-03 08:00:00,BS3 - Main 3R,44.5,unclassified
763,2022-01-03 08:15:00,BS3 - Main 3R,44.1875,unclassified
781,2022-01-03 08:30:00,BS3 - Main 3R,43.875,unclassified
804,2022-01-03 08:45:00,BS3 - Main 3R,43.5625,unclassified
820,2022-01-03 09:00:00,BS3 - Main 3R,43.25,unclassified
858,2022-01-03 09:15:00,BS3 - Main 3R,43.0625,unclassified
869,2022-01-03 09:30:00,BS3 - Main 3R,42.875,unclassified
885,2022-01-03 09:45:00,BS3 - Main 3R,42.6875,unclassified
926,2022-01-03 10:00:00,BS3 - Main 3R,42.5,unclassified
941,2022-01-03 10:15:00,BS3 - Main 3R,42.3125,unclassified
967,2022-01-03 10:30:00,BS3 - Main 3R,42.125,unclassified
977,2022-01-03 10:45:00,BS3 - Main 3R,41.9375,unclassified
1005,2022-01-03 11:00:00,BS3 - Main 3R,41.75,unclassified
1042,2022-01-03 11:15:00,BS3 - Main 3R,42.25,unclassified
1058,2022-01-03 11:30:00,BS3 - Main 3R,42.75,unclassified
1085,2022-01-03 11:45:00,BS3 - Main 3R,43.25,unclassified
1112,2022-01-03 12:00:00,BS3 - Main 3R,43.75,unclassified
1134,2022-01-03 12:15:00,BS3 - Main 3R,42.0,unclassified
1147,2022-01-03 12:30:00,BS3 - Main 3R,40.25,unclassified
1170,2022-01-03 12:45:00,BS3 - Main 3R,38.5,unclassified
1193,2022-01-03 13:00:00,BS3 - Main 3R,36.75,unclassified
1215,2022-01-03 13:15:00,BS3 - Main 3R,35.625,unclassified
1233,2022-01-03 13:30:00,BS3 - Main 3R,34.5,unclassified
1252,2022-01-03 13:45:00,BS3 - Main 3R,33.375,unclassified
1274,2022-01-03 14:00:00,BS3 - Main 3R,32.25,unclassified
1316,2022-01-03 14:15:00,BS3 - Main 3R,32.4375,unclassified
1320,2022-01-03 14:30:00,BS3 - Main 3R,32.625,unclassified
1356,2022-01-03 14:45:00,BS3 - Main 3R,32.8125,unclassified
1378,2022-01-03 15:00:00,BS3 - Main 3R,33.0,unclassified
1396,2022-01-03 15:15:00,BS3 - Main 3R,33.0,unclassified
1420,2022-01-03 15:30:00,BS3 - Main 3R,33.0,unclassified
1449,2022-01-03 15:45:00,BS3 - Main 3R,33.0,unclassified
1474,2022-01-03 16:00:00,BS3 - Main 3R,33.0,unclassified
1487,2022-01-03 16:15:00,BS3 - Main 3R,32.8125,unclassified
1516,2022-01-03 16:30:00,BS3 - Main 3R,32.625,unclassified
1534,2022-01-03 16:45:00,BS3 - Main 3R,32.4375,unclassified
1551,2022-01-03 17:00:00,BS3 - Main 3R,32.25,unclassified
1588,2022-01-03 17:15:00,BS3 - Main 3R,32.625,unclassified
1613,2022-01-03 17:30:00,BS3 - Main 3R,33.0,unclassified
1632,2022-01-03 17:45:00,BS3 - Main 3R,33.375,unclassified
1649,2022-01-03 18:00:00,BS3 - Main 3R,33.75,unclassified
1677,2022-01-03 18:15:00,BS3 - Main 3R,33.75,unclassified
1686,2022-01-03 18:30:00,BS3 - Main 3R,33.75,unclassified
1725,2022-01-03 18:45:00,BS3 - Main 3R,33.75,unclassified
1735,2022-01-03 19:00:00,BS3 - Main 3R,33.75,unclassified
1773,2022-01-03 19:15:00,BS3 - Main 3R,33.25,unclassified
1785,2022-01-03 19:30:00,BS3 - Main 3R,32.75,unclassified
1811,2022-01-03 19:45:00,BS3 - Main 3R,32.25,unclassified
1825,2022-01-03 20:00:00,BS3 - Main 3R,31.75,unclassified
1853,2022-01-03 20:15:00,BS3 - Main 3R,31.625,unclassified
1869,2022-01-03 20:30:00,BS3 - Main 3R,31.5,unclassified
1894,2022-01-03 20:45:00,BS3 - Main 3R,31.375,unclassified
1931,2022-01-03 21:00:00,BS3 - Main 3R,31.25,unclassified
1954,2022-01-03 21:15:00,BS3 - Main 3R,31.25,unclassified
1977,2022-01-03 21:30:00,BS3 - Main 3R,31.25,unclassified
1994,2022-01-03 21:45:00,BS3 - Main 3R,31.25,unclassified
2013,2022-01-03 22:00:00,BS3 - Main 3R,31.25,unclassified
2044,2022-01-03 22:15:00,BS3 - Main 3R,31.4375,unclassified
2055,2022-01-03 22:30:00,BS3 - Main 3R,31.625,unclassified
2077,2022-01-03 22:45:00,BS3 - Main 3R,31.8125,unclassified
2101,2022-01-03 23:00:00,BS3 - Main 3R,32.0,unclassified
2124,2022-01-03 23:15:00,BS3 - Main 3R,31.75,unclassified
2153,2022-01-03 23:30:00,BS3 - Main 3R,31.5,unclassified
2177,2022-01-03 23:45:00,BS3 - Main 3R,31.25,unclassified
2192,2022-01-04 00:00:00,BS3 - Main 3R,31.0,unclassified
2232,2022-01-04 00:15:00,BS3 - Main 3R,31.0,unclassified
2248,2022-01-04 00:30:00,BS3 - Main 3R,31.0,unclassified
2273,2022-01-04 00:45:00,BS3 - Main 3R,31.0,unclassified
2301,2022-01-04 01:00:00,BS3 - Main 3R,31.0,unclassified
2317,2022-01-04 01:15:00,BS3 - Main 3R,31.0625,unclassified
2331,2022-01-04 01:30:00,BS3 - Main 3R,31.125,unclassified
2367,2022-01-04 01:45:00,BS3 - Main 3R,31.1875,unclassified
2385,2022-01-04 02:00:00,BS3 - Main 3R,31.25,unclassified
2403,2022-01-04 02:15:00,BS3 - Main 3R,31.6875,unclassified
2441,2022-01-04 02:30:00,BS3 - Main 3R,32.125,unclassified
2457,2022-01-04 02:45:00,BS3 - Main 3R,32.5625,unclassified
2484,2022-01-04 03:00:00,BS3 - Main 3R,33.0,unclassified
2495,2022-01-04 03:15:00,BS3 - Main 3R,34.625,unclassified
2533,2022-01-04 03:30:00,BS3 - Main 3R,36.25,unclassified
